SUMMARY,DTSTART,DTEND,NOTES,LOCATION,COURSENAME,LAT,LONG
"AAS 1100, Lecture",1/26/17 13:25,1/26/17 14:40,LEC 001,Rockefeller Hall 230,Introduction to Asian American Studies,42.448983,-76.481771
"AEM 1200, Lecture",1/25/17 10:10,1/25/17 11:00,LEC 001,Kennedy Hall 116-Call Aud,Introduction to Business Management,42.448094,-76.479259
"AEM 2300, Lecture",1/26/17 11:40,1/26/17 12:55,LEC 001,Warren Hall B25,International Trade and Finance,42.449213,-76.477098
"AEM 3520, Lecture",1/26/17 10:10,1/26/17 11:25,LEC 001,Warren Hall B50,Financial Statements Analysis,42.449213,-76.477098
"AEM 4390, Lecture",3/21/17 11:40,3/21/17 12:55,LEC 001,Warren Hall B51,Technology Strategy,42.449213,-76.477098
"ANTHR 3420, Discussion",1/27/17 10:10,1/27/17 11:00,DIS 201,McGraw Hall 215,"Myth, Ritual, and Symbol",42.44938934,-76.48543029
"ANTHR 3420, Lecture",1/26/17 14:55,1/26/17 16:10,LEC 001,Morrill Hall 106,"Myth, Ritual, and Symbol",42.448637,-76.485315
"ART 3704, Studio",1/26/17 13:25,1/26/17 16:25,STU 501,Sibley Hall 223,Digital Media: Interactive Digital Media,42.450913,-76.4841
"ASIAN 2250, Discussion",1/27/17 13:25,1/27/17 14:15,DIS 201,Rockefeller Hall 112,Introduction to Asian Religions,42.448983,-76.481771
"ASIAN 2250, Lecture",1/25/17 13:25,1/25/17 14:15,LEC 001,Goldwin Smith Hall G64-Kau Aud,Introduction to Asian Religions,42.449063,-76.483473
"ASTRO 2201, Lecture",1/26/17 10:10,1/26/17 11:25,LEC 001,Space Sciences Building 105,The History of the Universe,42.44889252,-76.48113844
"ASTRO 2211, Lecture",1/26/17 11:40,1/26/17 12:55,LEC 001,Space Sciences Building 105,"Astronomy: Stars, Galaxies, and Cosmology",42.44889252,-76.48113844
"BTRY 3080, Discussion",1/31/17 14:55,1/31/17 16:10,DIS 201,Phillips Hall 219,Probability Models and Inference,42.444511,-76.481992
"BTRY 3080, Lecture",1/25/17 14:55,1/25/17 16:10,LEC 001,Caldwell Hall 100,Probability Models and Inference,42.449222,-76.478261
"CEE 5900, Lecture",1/25/17 8:00,1/25/17 9:55,LEC 001,Bill and Melinda Gates Hll G01,Project Management,42.44495,-76.480807
"CHEME 6400, Lecture",1/26/17 11:40,1/26/17 12:55,LEC 001,Olin Hall 165,Polymeric Materials,42.445429,-76.484397
"COGST 1101, Lecture",1/26/17 10:10,1/26/17 11:25,LEC 001,Uris Hall G01,Introduction to Cognitive Science,42.447205,-76.482197
"CS 2800, Lecture",1/25/17 13:25,1/25/17 14:15,LEC 001,Uris Hall G01,Discrete Structures,42.447205,-76.482197
"CS 3300, Lecture",1/25/17 11:15,1/25/17 12:05,LEC 001,Klarman Hall KG70,Data-Driven Web Applications,42.4491,-76.4831
"CS 3410, Discussion",1/31/17 14:55,1/31/17 16:10,DIS 201,Carpenter Hall 104 blue,Computer System Organization and Programming,42.444818,-76.484173
"CS 3410, Lecture",1/26/17 10:10,1/26/17 11:25,LEC 001,Morrison Hall 146,Computer System Organization and Programming,42.446301,-76.46926
"CS 3420, Discussion",1/31/17 14:55,1/31/17 16:10,DIS 201,Bard Hall 140,Embedded Systems,42.443878,-76.484026
"CS 3420, Lecture",1/26/17 13:25,1/26/17 14:40,LEC 001,Phillips Hall 101,Embedded Systems,42.444511,-76.481992
"CS 4220, Lecture",1/25/17 14:30,1/25/17 15:20,LEC 001,Bill and Melinda Gates Hll G01,Numerical Analysis: Linear and Nonlinear Problems,42.44495,-76.480807
